Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
49,49,29-May,@,BOS,L2-12,36,31,2,7,3,0,0,1,4,0,7,1,0,0,0,3,0,0,0.229,0.297,0.351,0.649,7,11,R,N.Pivetta(60)
50,50,30-May,@,BOS,W10-0,42,38,10,14,3,2,3,9,2,0,8,1,0,1,0,1,0,0,0.232,0.3,0.361,0.661,5,9,L,R.Hill(27)
51,51,31-May,,SEA,L0-10,33,31,0,5,1,0,0,0,1,0,12,1,0,0,0,1,0,0,0.231,0.298,0.358,0.656,6,9,R,G.Kirby(71)
52,52,1-Jun,,SEA,W9-2,37,31,9,10,3,0,4,9,6,0,7,0,0,0,0,1,0,2,0.232,0.301,0.366,0.667,4,10,L,R.Ray(42)
53,53,2-Jun,,SEA,L6-7,42,38,6,8,5,0,0,6,2,0,8,2,0,0,0,0,0,0,0.232,0.301,0.365,0.666,7,11,R,C.Flexen(45)
54,54,3-Jun,,CLE,L3-6,34,32,3,5,1,0,0,3,2,0,15,0,0,0,0,0,0,0,0.23,0.299,0.362,0.661,4,9,R,S.Bieber(72)
55,55,4-Jun,,CLE,W5-4,31,28,5,4,0,0,3,5,3,0,4,0,0,0,0,0,0,0,0.229,0.298,0.364,0.662,2,10,R,T.McKenzie(52)
56,56,5-Jun,,CLE,L2-3,35,31,2,4,1,0,1,2,3,0,10,1,0,0,0,1,0,0,0.227,0.297,0.362,0.659,6,11,R,Z.Plesac(64)
57,57,7-Jun,,CHC,W9-3,35,30,9,9,2,0,5,9,2,0,7,2,0,1,0,2,0,0,0.229,0.298,0.37,0.668,2,9,R,K.Thompson(21)
58,58,9-Jun,@,KCR,L5-7,43,37,5,10,3,0,0,5,6,0,7,0,0,0,0,0,1,0,0.229,0.299,0.37,0.669,11,11,L,K.Bubic(38)
59,59,10-Jun,@,KCR,L1-8,33,31,1,4,1,0,1,1,2,0,9,0,0,0,1,1,0,0,0.228,0.298,0.368,0.665,5,10,R,J.Heasley(82)
60,60,11-Jun,@,KCR,W6-4,38,35,6,10,2,0,1,5,3,0,11,0,0,0,0,0,1,1,0.229,0.298,0.369,0.667,5,10,L,D.Lynch(42)
61,61,12-Jun,@,KCR,W10-7,48,41,10,15,2,2,3,10,6,0,11,1,0,0,0,2,0,0,0.232,0.302,0.376,0.678,11,10,R,B.Keller(24)
62,62,13-Jun,@,TOR,L1-11,36,32,1,5,1,0,0,1,1,0,10,2,0,0,2,1,0,1,0.23,0.301,0.373,0.674,8,11,R,A.Manoah(76)
63,63,14-Jun,@,TOR,W6-5,39,33,6,8,4,0,2,6,5,0,7,0,0,1,0,1,2,1,0.231,0.301,0.376,0.677,6,9,L,Y.Kikuchi(36)
64,64,15-Jun,@,TOR,L6-7,37,35,6,6,3,0,3,6,0,0,11,1,1,0,0,0,0,0,0.23,0.3,0.378,0.678,2,9,R,J.Berrios(67)
65,65,16-Jun,@,TOR,W10-2,43,39,10,13,3,1,1,10,2,0,8,0,0,2,0,0,1,0,0.231,0.3,0.381,0.681,6,10,R,K.Gausman(21)
66,66,17-Jun,,TBR,W1-0,32,29,1,5,2,0,0,1,0,0,11,3,0,0,0,0,3,0,0.231,0.3,0.379,0.679,7,10,R,S.Baz(75)
67,67,18-Jun,,TBR,L6-7,41,38,6,10,2,0,0,6,3,0,9,0,0,0,1,0,1,0,0.231,0.3,0.378,0.678,8,11,L,J.Springs(38)
68,68,19-Jun,,TBR,W2-1,29,27,2,4,1,0,1,2,1,0,7,1,0,0,0,0,1,0,0.23,0.299,0.377,0.676,3,9,R,C.Kluber(61)
69,69,21-Jun,,WSN,L0-3,33,32,0,4,1,0,0,0,1,0,10,0,0,0,1,0,0,0,0.229,0.297,0.374,0.671,6,9,R,E.Fedde(71)
70,70,22-Jun,,WSN,W7-0,31,29,7,11,3,1,3,7,2,0,8,0,0,0,0,0,0,0,0.231,0.299,0.38,0.679,6,10,L,P.Corbin(41)
71,71,23-Jun,@,CHW,W4-0,38,36,4,10,5,0,1,4,2,0,11,0,0,0,0,0,0,0,0.231,0.299,0.382,0.681,7,9,R,J.Cueto(48)
72,72,24-Jun,@,CHW,W4-1,36,31,4,5,3,0,0,2,4,0,6,1,0,0,0,1,5,0,0.23,0.299,0.38,0.679,5,10,R,M.Kopech(52)
73,73,25-Jun,@,CHW,W6-2,40,36,6,9,2,0,1,5,2,0,12,2,0,0,1,0,0,1,0.231,0.299,0.38,0.679,7,9,R,L.Lynn(47)
74,74,26-Jun,@,CHW,L3-4,38,35,3,7,1,0,1,3,2,0,16,0,0,1,2,0,0,0,0.23,0.298,0.379,0.677,8,10,R,D.Cease(77)
75,75,27-Jun,@,SEA,W9-2,41,38,9,12,3,0,5,9,1,0,6,1,0,1,0,0,0,0,0.232,0.299,0.386,0.684,5,11,R,G.Kirby(17)
76,76,28-Jun,@,SEA,L0-2,32,28,0,1,0,0,0,0,3,0,11,1,0,0,0,0,3,0,0.229,0.297,0.382,0.679,5,12,L,R.Ray(80)
77,77,29-Jun,@,SEA,L3-9,39,35,3,8,3,0,0,3,4,0,8,0,0,0,0,1,0,0,0.229,0.297,0.381,0.678,9,9,R,C.Flexen(47)
78,78,1-Jul,@,MIN,L2-3,33,32,2,4,3,0,0,2,1,0,8,0,0,0,0,0,0,0,0.228,0.296,0.379,0.674,4,11,R,J.Ryan(75)
79,79,2-Jul,@,MIN,L3-4,37,30,3,7,3,0,1,3,4,0,8,1,1,1,0,1,0,1,0.228,0.296,0.38,0.676,7,10,R,S.Gray(45)
80,80,3-Jul,@,MIN,W3-1,35,33,3,7,1,0,3,3,2,0,8,0,0,0,1,0,0,1,0.228,0.296,0.381,0.677,5,11,L,D.Smeltzer(50)
81,81,4-Jul,,TEX,W7-6,45,39,7,12,5,0,1,6,3,1,8,2,0,0,1,0,0,0,0.229,0.297,0.383,0.68,12,12,R,D.Dunning(42)
82,82,5-Jul,,TEX,W10-9,46,41,10,14,3,0,2,10,5,0,7,0,0,0,0,1,2,0,0.231,0.299,0.386,0.684,8,10,R,S.Howard(34)
83,83,6-Jul,,TEX,W2-1,31,27,2,4,0,0,0,1,4,0,8,0,0,0,0,1,0,0,0.23,0.298,0.383,0.682,5,9,R,G.Otto(57)
